Timestamp,Date,date,entry_word_count,formatted_date,quarter,sentiment,maxSentiment,positve-sentiment,negative-sentiment,neutral-sentiment
2021-07-17 9:13:04,2021-01-18 0:00:00,2021-01-18 0:00:00,141,2021-01-18,2021Q1,"{'neg': 0.21, 'neu': 0.733, 'pos': 0.057, 'compound': -0.9818}",negative,0.057,0.21,0.733
2021-07-17 9:13:04,2021-01-10 0:00:00,2021-01-10 0:00:00,157,2021-01-10,2021Q1,"{'neg': 0.164, 'neu': 0.682, 'pos': 0.155, 'compound': 0.3698}",negative,0.155,0.164,0.682
2021-07-17 9:13:04,2021-01-01 0:00:00,2021-01-01 0:00:00,91,2021-01-01,2021Q1,"{'neg': 0.073, 'neu': 0.794, 'pos': 0.133, 'compound': 0.755}",positive,0.133,0.073,0.794
2021-07-17 9:13:04,2020-12-10 0:00:00,2020-12-10 0:00:00,90,2020-12-10,2020Q4,"{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.9771}",positive,0.222,0.0,0.778
2021-07-17 9:13:04,2020-11-01 0:00:00,2020-11-01 0:00:00,190,2020-11-01,2020Q4,"{'neg': 0.176, 'neu': 0.775, 'pos': 0.049, 'compound': -0.9747}",negative,0.049,0.176,0.775
2021-07-17 9:13:04,2020-10-10 0:00:00,2020-10-10 0:00:00,28,2020-10-10,2020Q4,"{'neg': 0.216, 'neu': 0.685, 'pos': 0.1, 'compound': -0.6808}",negative,0.1,0.216,0.685
2021-07-17 9:13:04,2020-09-19 0:00:00,2020-09-19 0:00:00,163,2020-09-19,2020Q3,"{'neg': 0.168, 'neu': 0.775, 'pos': 0.058, 'compound': -0.9614}",negative,0.058,0.168,0.775
2021-07-17 9:13:04,2020-09-05 0:00:00,2020-09-05 0:00:00,64,2020-09-05,2020Q3,"{'neg': 0.034, 'neu': 0.828, 'pos': 0.138, 'compound': 0.7298}",positive,0.138,0.034,0.828
2021-07-17 9:13:04,2020-08-31 0:00:00,2020-08-31 0:00:00,193,2020-08-31,2020Q3,"{'neg': 0.054, 'neu': 0.889, 'pos': 0.057, 'compound': 0.4039}",positive,0.057,0.054,0.889
2021-07-17 9:13:04,2020-08-17 0:00:00,2020-08-17 0:00:00,307,2020-08-17,2020Q3,"{'neg': 0.083, 'neu': 0.741, 'pos': 0.177, 'compound': 0.9836}",positive,0.177,0.083,0.741
2021-07-17 9:13:04,2020-08-16 0:00:00,2020-08-16 0:00:00,94,2020-08-16,2020Q3,"{'neg': 0.094, 'neu': 0.779, 'pos': 0.127, 'compound': 0.1633}",positive,0.127,0.094,0.779
2021-07-17 9:13:04,2020-06-21 0:00:00,2020-06-21 0:00:00,378,2020-06-21,2020Q2,"{'neg': 0.259, 'neu': 0.714, 'pos': 0.028, 'compound': -0.9987}",negative,0.028,0.259,0.714
2021-07-17 9:13:04,2020-06-15 0:00:00,2020-06-15 0:00:00,8,2020-06-15,2020Q2,"{'neg': 0.559, 'neu': 0.441, 'pos': 0.0, 'compound': -0.8225}",negative,0.0,0.559,0.441
2021-07-17 9:13:04,2020-06-07 0:00:00,2020-06-07 0:00:00,209,2020-06-07,2020Q2,"{'neg': 0.168, 'neu': 0.767, 'pos': 0.065, 'compound': -0.9783}",negative,0.065,0.168,0.767
2021-07-17 9:13:04,2020-04-29 0:00:00,2020-04-29 0:00:00,13,2020-04-29,2020Q2,"{'neg': 0.475, 'neu': 0.351, 'pos': 0.174, 'compound': -0.7726}",negative,0.174,0.475,0.351
2021-07-17 9:13:04,2020-04-18 0:00:00,2020-04-18 0:00:00,99,2020-04-18,2020Q2,"{'neg': 0.086, 'neu': 0.718, 'pos': 0.197, 'compound': 0.8638}",positive,0.197,0.086,0.718
2021-07-17 9:13:04,2020-04-12 0:00:00,2020-04-12 0:00:00,299,2020-04-12,2020Q2,"{'neg': 0.169, 'neu': 0.729, 'pos': 0.102, 'compound': -0.9676}",negative,0.102,0.169,0.729
