date,entry_word_count,formatted_date,quarter
1994-02-21 0:00:00,60,1994-02-21,1994Q1
1994-02-20 0:00:00,86,1994-02-20,1994Q1
1994-02-19 0:00:00,117,1994-02-19,1994Q1
1994-01-01 0:00:00,45,1994-01-01,1994Q1
7/25/2021,6,2021-07-25,2021Q3
7/26/2021,75,2021-07-26,2021Q3
7/26/2021,58,2021-07-26,2021Q3
8/1/2021,41,2021-08-01,2021Q3
8/2/2021,37,2021-08-02,2021Q3
8/3/2021,151,2021-08-03,2021Q3
8/3/2021,107,2021-08-03,2021Q3
8/3/2021,54,2021-08-03,2021Q3
8/8/2021,81,2021-08-08,2021Q3
8/26/2021,40,2021-08-26,2021Q3
8/29/2021,104,2021-08-29,2021Q3
